,,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,4,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,,,,1,2,3,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Quercus coccifera L.,3,2,4,3,3,3,4,3,3,3,,,Quercus coccifera L.,5,3,5,4,,,Quercus coccifera L.,3,3,4,2,3,4,,,Quercus coccifera L.,4,4,4,4,4,3,4,,,Quercus coccifera L.,4,3,4,,,Quercus coccifera L.,4,4,3,4,2,4,2,3,4,4,3,2,4,3
,Rhamnus alaternus L.,2,2,2,3,3,3,2,2,.,2,,,Hyacinthoides hispanica (Mill.) Rothm.,1,+,1,2,,,Daphne gnidium L.,1,+,2,2,1,1,,,Juniperus oxycedrus L.,4,2,3,3,.,2,3,,,Phillyrea angustifolia L.,1,2,+,,,Pistacia lentiscus L.,.,.,3,.,2,.,1,.,2,2,2,2,1,2
,Pistacia lentiscus L.,2,.,3,2,2,3,2,3,3,2,,,Rubia peregrina L.,1,1,1,+,,,Pistacia lentiscus L.,3,3,.,3,2,2,,,Quercus rotundifolia Lam.,.,2,2,2,2,2,1,,p,Quercus rotundifolia Lam.,2,+,1,,,Teucrium fruticans L.,1,.,+,1,2,+,.,2,1,+,.,2,2,.
,Daphne gnidium L.,2,2,1,2,2,2,3,2,.,.,,,Rhamnus alaternus L.,+,.,2,3,,,Rhamnus alaternus L.,2,.,1,+,3,+,,,Jasminum fruticans L.,.,.,.,2,2,2,2,,,Daphne gnidium L.,1,+,.,,,Smilax aspera L.,.,+,+,1,+,.,+,+,3,3,.,+,2,.
,Smilax aspera L.,2,1,2,.,2,.,2,2,.,.,,,Pistacia lentiscus L.,1,1,.,2,,,Rhamnus fontquerianus,1,1,.,2,1,+,,,Phillyrea angustifolia L.,1,.,.,.,.,2,2,,,Asparagus acutifolius L.,+,.,+,,,Viburnum tinus L.,1,.,.,3,1,3,+,2,.,.,.,4,+,.
,Phillyrea angustifolia L.,.,.,.,2,2,2,2,2,.,2,,,Arisarum simorrhinum Durieu [sub],+,2,+,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],+,.,+,2,1,.,,,Asparagus acutifolius L.,.,2,.,.,1,2,.,,,Juniperus oxycedrus L.,+,.,+,,,Quercus rotundifolia Lam.,2,.,.,.,.,.,1,1,2,1,1,1,2,.
,Lonicera implexa Aiton,2,1,1,.,2,2,.,.,.,.,,,Myrtus communis L.,1,+,.,1,,,Quercus rotundifolia Lam.,.,.,2,3,1,.,,,Rhamnus lycioides L.,.,.,2,.,2,.,2,,,Hyacinthoides hispanica (Mill.) Rothm.,.,+,+,,,Pistacia terebinthus L.,.,.,+,1,1,1,1,2,1,2,.,.,1,.
,Ruscus aculeatus L.,.,.,.,2,2,2,.,.,2,2,,,Asparagus acutifolius L.,.,.,3,1,,,Lonicera implexa Aiton,+,.,1,.,1,.,,,Lonicera implexa Aiton,.,.,.,2,.,2,2,,,Rubia peregrina L.,.,.,+,,,Phillyrea angustifolia L.,1,.,1,1,+,+,+,.,2,+,.,.,1,.
,Asparagus aphyllus L.,2,1,.,.,.,.,1,+,.,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,2,2,,,Phillyrea angustifolia L.,.,1,1,.,1,.,,,Daphne gnidium L.,2,.,.,.,2,.,.,,,Rosmarinus officinalis L.,2,+,1,,,Rhamnus alaternus L.,.,2,+,.,+,+,1,1,+,+,.,.,.,.
,Arbutus unedo L.,.,.,.,2,2,2,.,2,.,.,,,Lonicera implexa Aiton,.,.,1,3,,,Myrtus communis L.,1,.,2,.,.,1,,,Rubia peregrina L.,.,.,2,.,.,.,2,,,Asphodelus aestivus Brot.,+,1,1,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire,.,.,2,1,+,.,1,.,+,+,.,.,.,2
,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,2,2,1,.,.,.,+,,,Jasminum fruticans L.,.,.,3,+,,,Erica arborea L.,.,1,.,1,.,2,,,Pistacia terebinthus L.,.,.,.,2,.,2,.,,,Cistus salviifolius L.,+,+,1,,,Asparagus acutifolius L.,1,.,+,.,.,+,.,.,.,+,.,+,2,1
,Asparagus acutifolius L.,.,.,.,2,1,2,.,.,.,.,,,Asparagus aphyllus L.,.,1,.,1,,,Juniperus oxycedrus L. subsp. badia (H. Gay) Debeaux [sub],.,1,.,+,.,1,,,Rhamnus gr. lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,.,.,.,2,.,.,,,Cistus ladanifer L. [sub],+,+,+,,,Olea europaea L.,.,2,.,.,2,.,1,.,.,.,1,.,+,1
,Erica arborea L.,.,.,.,.,.,.,2,2,.,.,,,Daphne gnidium L.,1,.,.,+,,,Asparagus aphyllus L.,.,+,1,.,.,+,,,Cistus albidus L.,.,.,.,2,1,2,2,,,Cistus albidus L.,+,+,+,,,Daphne gnidium L.,.,+,+,.,+,.,.,.,.,+,.,.,1,1
,Cistus salviifolius L.,2,2,2,2,2,2,.,.,3,3,,,Arbutus unedo L.,.,+,.,+,,,Asparagus albus L.,2,+,.,.,.,.,,,Asphodelus aestivus Brot. [sub],2,2,.,.,1,.,.,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,1,+,.,,,Lonicera implexa Aiton,.,.,.,.,+,.,+,1,.,+,2,.,1,.
,Origanum virens Hoffmanns. & Link,1,2,1,.,.,1,.,.,.,.,,,Viburnum tinus L.,.,.,.,2,,,Phillyrea latifolia L.,+,.,.,.,.,.,,,Lavandula pedunculata Cav. [sub],2,2,.,.,2,.,.,,,Lavandula pedunculata Cav. [sub],+,+,.,,,Myrtus communis L.,.,.,1,3,.,.,+,.,1,+,.,.,.,.
,Brachypodium distachyon (L.) P. Beauv.,1,2,2,.,.,.,.,.,.,.,,,Smilax aspera L.,.,.,.,2,,,Rubia peregrina L. [sub],.,.,.,.,.,1,,,Macrochloa tenacissima (L.) Kunth [sub],.,1,2,.,2,.,.,,,Genista hirsuta Vahl,1,.,+,,,Arbutus unedo L.,.,.,.,2,2,.,.,.,+,.,.,.,+,.
,Calamintha nepeta (L.) Savi [sub],1,.,1,.,.,.,.,1,.,.,,,Ruscus aculeatus L.,.,.,.,1,,,Cistus ladanifer L. [sub],+,.,1,1,1,1,,,Cytisus multiflorus (L'Hér.) Sweet,.,.,2,2,.,.,2,,,Teucrium haenseleri Boiss.,+,.,1,,,Osyris alba L.,.,2,.,.,.,.,.,.,.,.,.,2,+,.
,Cistus crispus L.,.,2,.,.,.,.,1,.,2,.,,,Quercus rotundifolia Lam.,.,.,.,1,,,Rosmarinus officinalis L.,1,1,.,1,+,2,,,Carex halleriana Asso [sub],2,.,2,.,.,.,.,,,Halimium umbellatum (L.) Spach subsp. viscosum (Willk.) O. Bolòs & Vigo,.,1,1,,,Ruscus aculeatus L.,.,.,.,.,.,.,+,+,.,.,.,+,.,.
,Hyparrhenia hirta (L.) Stapf in Prain subsp. pubescens (Vis.) Paunero [sub],1,2,.,.,.,.,.,.,.,.,,,Phillyrea angustifolia L.,.,.,.,1,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],1,+,1,.,.,1,,,Ranunculus gramineus L.,2,.,.,.,.,1,.,,,Arrhenatherum album (Vahl) W. D. Clayton,+,.,.,,,Quercus suber L.,.,.,.,.,.,.,.,.,.,1,2,.,.,.
,Brachypodium phoenicoides (L.) Roem. & Schult.,1,1,.,.,.,.,.,.,.,.,,,Carex distachya Desf.,.,.,.,+,,,Ruta angustifolia Pers.,1,.,.,+,.,+,,,Phlomis lychnitis L.,.,1,2,.,.,.,.,,,Phlomis lychnitis L.,+,.,.,,,Bupleurum fruticosum L.,.,.,.,.,.,.,.,.,.,.,2,1,.,.
,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,2,.,.,.,.,1,.,.,.,,,Selaginella denticulata (L.) Spring,.,.,.,+,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,+,.,+,.,.,,,Crataegus monogyna Jacq.,.,2,.,.,2,.,.,,,Thymus mastichina L.,.,+,.,,,Asparagus albus L.,.,.,.,.,.,.,+,.,.,+,.,.,.,.
,Cistus psilosepalus Sweet,.,.,.,2,.,.,.,.,2,2,,,Avenella flexuosa (L.) Drejer [sub],.,.,.,+,,,Bituminaria bituminosa (L.) C.H. Stirt. [sub],1,+,.,1,.,.,,,Bupleurum fruticescens Loefl. ex L.,.,.,2,.,.,.,2,,,Thapsia villosa L.,.,.,+,,,Jasminum fruticans L.,.,.,.,.,+,.,+,.,.,.,.,.,.,.
,Cistus monspeliensis L.,.,.,.,.,.,.,3,2,.,.,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,.,(+),.,,,Cistus crispus L.,.,.,.,.,+,+,,,Lonicera etrusca G. Santi,.,.,.,.,2,.,.,,,,,,,,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab.,.,.,.,.,.,.,+,.,.,+,.,.,.,.
,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],.,.,.,.,.,.,2,2,.,.,,,Rosa sempervirens L.,.,.,.,(+),,,Origanum virens Hoffmanns. & Link,+,+,.,.,.,.,,,Colutea hispanica Talavera & Arista [sub],.,.,.,.,.,.,2,,,,,,,,,Cistus salviifolius L.,.,.,+,.,+,1,+,+,+,+,+,2,3,.
,Cistus ladanifer L. [sub],.,.,.,.,.,.,2,2,.,.,,,Tamus communis L.,+,1,+,1,,,Arisarum simorrhinum Durieu [sub],.,.,.,+,.,.,,,Orchis lactea Poir.,2,.,.,.,.,.,.,,,,,,,,,Cistus albidus L.,.,.,+,.,2,2,1,.,+,+,2,+,2,2
,Genista triacanthos Brot.,.,2,.,.,.,.,.,.,.,.,,,Retama sphaerocarpa (L.) Boiss.,.,1,.,2,,,Thymus mastichina L.,.,.,.,+,.,.,,,Orchis mascula (L.) L.,2,.,.,.,.,.,.,,,,,,,,,Phlomis purpurea L.,.,.,+,1,.,.,1,+,+,+,1,+,3,2
,Teucrium scorodonia L.,.,1,.,.,.,.,.,.,.,.,,,Urginea fugax (Moris) Steinh. [sub],.,+,+,+,,,Cistus albidus L.,.,.,.,+,.,.,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],.,1,.,.,.,.,.,,,,,,,,,Rosmarinus officinalis L.,.,.,.,.,.,+,+,.,+,1,2,.,+,3
,Thapsia villosa L.,.,1,.,.,.,.,.,.,.,.,,,Pulicaria odora (L.) Rchb.,.,+,.,1,,,Hyparrhenia hirta (L.) Stapf in Prain,.,.,.,+,.,.,,,Melica minuta L.,.,.,2,.,.,.,.,,,,,,,,,Quercus faginea Lam.,.,.,.,.,.,3,.,2,.,+,1,1,.,.
,Erophaca baetica (L.) Boiss.,.,.,.,.,2,.,.,.,.,.,,,Bryonia dioica Jacq.,.,.,1,+,,,Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman [sub],+,.,.,.,.,.,,,Ballota hirsuta Benth.,.,.,2,.,.,.,.,,,,,,,,,Genista hirsuta Vahl,.,.,.,2,+,.,.,.,.,.,+,+,.,.
,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],.,.,.,.,2,.,.,.,.,.,,,Aristolochia paucinervis Pomel,1,+,.,.,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,1,.,.,.,,,Thymus mastichina L.,.,.,.,2,.,.,.,,,,,,,,,Rubus ulmifolius Schott,.,+,.,.,+,.,.,.,.,.,.,+,+,.
,Dorycnopsis gerardi (L.) Boiss.,.,.,.,.,.,.,.,2,.,.,,,Cistus salviifolius L. [sub],(+),.,.,1,,,Helichrysum stoechas (L.) Moench,1,.,.,.,+,.,,,Thymus zygis Loefl. ex L.,.,.,.,2,.,.,.,,,,,,,,,Cytisus striatus (Hill) Rothm.,.,.,.,.,+,2,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,Lavandula pedunculata Cav. [sub],2,.,.,.,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,.,.,+,.,,,Halimium umbellatum (L.) Spach subsp. viscosum (Willk.) O. Bolòs & Vigo [sub],.,.,.,2,.,.,.,,,,,,,,,Cistus monspeliensis L.,.,1,+,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,Thapsia villosa L.,.,1,.,+,,,Erica scoparia L.,.,.,.,.,1,.,,,Ruta montana (L.) L.,.,.,.,2,.,.,.,,,,,,,,,Cistus ladanifer L. [sub],.,1,.,.,.,.,.,.,.,.,.,.,.,1
,,,,,,,,,,,,,,Cytisus striatus (Hill) Rothm.,.,+,.,+,,,Ballota hirsuta Benth.,+,.,.,.,.,.,,,Marrubium vulgare L.,.,.,.,.,2,.,.,,,,,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira,.,.,+,.,.,.,.,.,.,.,1,.,.,.
,,,,,,,,,,,,,,Ferula communis L.,.,.,+,.,,,Cistus salviifolius L. [sub],.,.,.,.,.,+,,,Rosa corymbifera Borkh.,.,.,.,.,.,2,.,,,,,,,,,Lavandula stoechas L. subsp. stoechas,.,.,.,1,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,Asplenium ceterach L. [sub],.,.,+,.,,,Erophaca baetica (L.) Boiss. [sub],.,.,.,.,.,+,,,Conopodium marianum Lange [sub],.,.,.,.,.,2,.,,,,,,,,,Erica arborea L.,.,.,1,3,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,Aegilops geniculata Roth,.,.,+,.,,,,,,,,,,,,Ferula communis L.,.,.,.,.,.,2,.,,,,,,,,,Phillyrea latifolia L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,+,.,,,,,,,,,,,,Helichrysum stoechas (L.) Moench,.,.,.,.,.,2,.,,,,,,,,,Cistus crispus L.,.,.,.,.,.,.,.,.,.,.,.,2,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erica arborea L.,.,.,.,.,.,.,2,,,,,,,,,Cistus populifolius L.,.,.,.,1,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hedera helix L.,.,.,.,.,.,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lonicera periclymenum L.,.,.,.,.,.,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,+,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quercus pyrenaica Willd.,.,.,.,.,.,.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retama sphaerocarpa (L.) Boiss.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thymus mastichina L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.