,,1,2,3,4,5,6,7,8,9,10,11,,,1,2,3,4,5,6,7,8,9
,Quercus faginea Lam.,3,4,3,4,5,5,4,4,3,4,4,,Quercus faginea Lam. subsp. faginea,3,4,2,4,5,4,5,3,4
,Crataegus monogyna Jacq.,.,.,+,3,1,1,+,2,1,1,+,,Rubia peregrina L.,1,3,+,1,3,1,3,1,+
,Arbutus unedo L.,.,3,+,2,+,3,3,2,2,.,.,,Arbutus unedo L.,+,3,.,2,+,2,3,2,3
,Tamus communis L.,+,2,+,1,3,+,+,.,.,1,.,,Daphne gnidium L.,+,1,.,1,+,1,+,+,+
,Hedera hibernica (G. Kirchn.) Bean,+,1,2,1,3,1,.,.,1,1,+,,Crataegus monogyna Jacq. [sub],+,.,.,3,1,2,1,1,+
,Lonicera etrusca G. Santi,+,.,1,+,.,1,.,.,.,1,+,,Osyris alba L.,1,1,.,4,+,.,+,1,+
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,.,.,2,.,1,.,2,+,,Tamus communis L.,+,2,+,1,3,.,+,.,+
,Sedum forsterianum Sm. in Sowerby,.,.,+,+,.,.,.,.,.,+,+,,Hedera hibernica (G. Kirchn.) Bean,2,1,.,1,3,.,1,1,.
,Brachypodium sylvaticum (Huds.) P. Beauv.,.,1,.,.,1,.,.,.,.,1,.,,Asplenium onopteris L.,2,1,2,.,2,.,.,.,+
,Laurus nobilis L.,.,.,1,.,+,.,+,.,.,.,.,,Pistacia terebinthus L.,1,1,2,.,.,.,.,2,+
,Silene nutans L.,+,.,.,1,.,.,.,.,.,.,+,,Quercus rotundifolia Lam.,2,.,+,.,.,.,+,2,+
,Hypericum perforatum L.,.,.,.,.,.,+,.,.,.,+,+,,Asparagus acutifolius L.,.,.,.,2,+,.,1,1,.
,Quercus faginea Lam.,.,.,.,.,1,2,.,.,.,.,.,,Phillyrea angustifolia L.,.,.,.,1,1,.,.,+,2
,Aristolochia paucinervis Pomel,.,.,.,.,.,.,.,2,.,1,.,,Lonicera etrusca G. Santi,1,.,+,+,.,.,1,.,.
,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],.,.,.,.,.,.,.,.,.,1,1,,Laurus nobilis L.,1,.,.,.,+,.,.,.,+
,Prunus avium L.,.,.,.,.,1,.,.,.,.,+,.,,Ruscus aculeatus L.,3,3,.,.,.,.,.,.,.
,Castanea sativa Mill.,.,.,1,.,.,+,.,.,.,.,.,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,.,.,.,.,.,1,2,.,.
,Rosa canina L.,.,.,1,.,.,.,+,.,.,.,.,,Quercus faginea Lam. subsp. faginea,.,.,.,.,1,.,2,.,.
,Teucrium scorodonia L.,.,1,+,.,.,.,.,.,.,.,.,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,1,.,.,1,.,.,.,.
,Rosa micrantha Borrer ex Sm. in Sowerby,.,.,.,.,.,.,.,.,.,+,1,,Asparagus aphyllus L.,.,.,.,1,.,.,.,.,+
,Paeonia broteri Boiss. & Reut. [sub],.,.,.,.,.,.,.,.,.,1,+,,Castanea sativa Mill.,1,.,.,.,.,.,+,.,.
,Bryonia dioica Jacq.,.,.,.,.,.,.,+,+,.,.,.,,Rosa canina L.,1,.,.,.,.,.,.,.,+
,Ranunculus ollissiponensis Pers.,+,.,+,.,.,.,.,.,.,.,.,,Silene nutans L. subsp. nutans,.,.,+,1,.,.,.,.,.
,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,.,+,.,.,.,.,.,.,.,+,,Teucrium scorodonia L. subsp. scorodonia,+,1,.,.,.,.,.,.,.
,Cephalanthera longifolia (L.) Fritsch,.,+,.,.,.,.,.,.,.,.,+,,Bryonia dioica Jacq.,.,.,.,.,.,+,.,.,+
,Quercus pyrenaica Willd.,.,.,.,.,.,.,.,3,.,.,.,,Olea europaea L. subsp. sylvestris (Mill.) Hegi,.,.,+,+,.,.,.,.,.
,Galium mollugo L.,.,.,.,.,.,.,.,2,.,.,.,,Ranunculus ollissiponensis Pers.,+,.,+,.,.,.,.,.,.
,Lathyrus clymenum L.,.,.,.,1,.,.,.,.,.,.,.,,Quercus pyrenaica Willd.,.,.,.,.,.,3,.,.,.
,Prunus spinosa L.,.,.,.,.,.,.,.,.,.,1,.,,Galium mollugo L. subsp. erectum (Huds.) Syme,.,.,.,.,.,2,.,.,.
,Prunus insititia L.,.,.,.,.,.,.,.,1,.,.,.,,Lathyrus clymenum L.,.,.,.,1,.,.,.,.,.
,Origanum virens Hoffmanns. & Link,.,.,.,.,.,.,.,1,.,.,.,,Prunus avium L.,.,.,.,.,1,.,.,.,.
,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,+,.,.,.,.,.,.,.,.,,Prunus insititia L.,.,.,.,.,.,.,1,.,.
,Euphorbia amygdaloides L.,.,+,.,.,.,.,.,.,.,.,.,,Viburnum tinus L.,.,.,1,.,.,.,.,.,.
,Melica uniflora Retz.,.,.,.,.,.,.,+,.,.,.,.,,Arenaria montana L. subsp. montana,+,.,.,.,.,.,.,.,.
,Sambucus nigra L.,.,.,.,.,.,.,+,.,.,.,.,,Arisarum simorrhinum Durieu,.,.,.,.,.,.,.,.,+
,Arabis stenocarpa Boiss. & Reut.,.,.,+,.,.,.,.,.,.,.,.,,Arum italicum Mill. subsp. neglectum (Towns.) Prime,+,.,.,.,.,.,.,.,.
,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.,.,.,.,.,+,.,.,.,,Cephalanthera longifolia (L.) Fritsch,.,+,.,.,.,.,.,.,.
,Silene latifolia Poir.,.,.,.,.,.,.,.,+,.,.,.,,Euphorbia amygdaloides L. subsp. amygdaloides,.,+,.,.,.,.,.,.,.
,Epipactis lusitanica Tyteca [sub],.,.,.,.,.,.,.,.,.,+,.,,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,+,.,.,.,.,.
,Geum sylvaticum Pourr.,.,.,.,.,.,.,.,.,.,+,.,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,.,.,.,.,.,.,.,.
,Amelanchier ovalis Medik.,.,.,.,.,.,.,.,.,.,.,+,,Melica uniflora Retz.,.,.,.,.,.,.,.,.,+
,Rubia peregrina L.,+,3,1,1,3,3,+,1,1,2,1,,Sambucus nigra L. subsp. nigra,.,.,.,.,.,.,.,.,+
,Daphne gnidium L.,.,1,+,1,+,+,+,1,+,+,1,,Silene latifolia Poir.,.,.,.,.,.,+,.,.,.
,Osyris alba L.,.,1,1,4,+,+,+,.,1,.,1,,Rubus ulmifolius Schott,2,.,.,+,3,2,+,2,2
,Quercus rotundifolia Lam.,+,.,2,.,.,+,+,.,2,2,2,,Erica arborea L. [sub],1,1,+,+,.,+,.,.,1
,Erica arborea L.,+,1,1,+,.,.,1,+,.,+,.,,Cistus salviifolius L.,+,.,+,+,.,2,+,.,.
,Asplenium onopteris L.,2,1,2,.,2,.,+,.,.,+,.,,Geranium purpureum Vill.,+,.,1,+,1,+,.,.,.
,Phillyrea angustifolia L.,.,.,.,1,1,.,2,.,+,.,2,,Rhus coriaria L.,.,.,.,2,+,.,3,3,.
,Pistacia terebinthus L.,2,1,1,.,.,.,+,.,2,.,.,,Cytisus grandiflorus (Brot.) DC. subsp. grandiflorus,.,.,.,2,.,2,1,+,.
,Asparagus acutifolius L.,.,.,.,2,+,1,.,.,1,.,.,,Melica ciliata L. subsp. magnolii (Gren. & Godr.) Husnot,.,1,.,+,.,2,.,.,.
,Ruscus aculeatus L.,.,3,3,.,.,.,.,.,.,+,+,,Cytisus striatus (Hill) Rothm. [sub],+,.,.,.,.,.,1,+,.
,Asparagus aphyllus L.,.,.,.,1,.,.,+,.,.,.,.,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,.,.,.,+,.,1,.,.
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],+,.,.,+,.,.,.,.,.,.,.,,Sanguisorba verrucosa (Link ex G. Don) Ces.,+,+,.,.,.,+,.,.,.
,Rubus ulmifolius Schott,.,.,2,+,3,+,2,2,2,+,.,,Thapsia villosa L.,+,.,.,.,+,+,.,.,.
,Geranium purpureum Vill.,1,.,+,+,1,.,.,+,.,.,+,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,.,.,1,.,.,+,.,.
,Cistus salviifolius L.,+,.,+,+,.,+,.,2,.,.,.,,Lavandula pedunculata Cav. [sub],.,.,.,+,.,1,.,.,.
,Cytisus grandiflorus (Brot.) DC.,.,.,.,2,.,1,.,2,+,.,.,,Scrophularia scorodonia L.,.,.,.,.,.,1,.,.,+
,Rhus coriaria L.,.,.,.,2,+,3,.,.,3,.,.,,Anogramma leptophylla (L.) Link,.,.,.,.,+,+,.,.,.
,Cytisus scoparius (L.) Link,.,.,.,.,.,.,.,1,.,1,1,,Antirrhinum graniticum Rothm.,.,.,.,+,.,.,+,.,.
,Genista falcata Brot.,.,.,+,.,.,.,.,.,.,1,1,,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey.,.,.,.,.,.,+,.,.,+
,Melica ciliata L.,.,1,.,+,.,.,.,2,.,.,.,,Polypodium cambricum L. subsp. cambricum,+,.,.,.,.,.,.,.,+
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,.,1,.,+,.,.,.,1,.,,Sedum forsterianum Sm. in Sowerby,+,.,.,+,.,.,.,.,.
,Cytisus striatus (Hill) Rothm.,.,.,+,.,.,1,.,.,+,.,.,,Aristolochia paucinervis Pomel,.,.,.,.,.,2,.,.,.
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,+,.,+,1,.,.,.,.,.,,Ferula communis L. subsp. catalaunica (Pau ex C. Vicioso) Sánchez Cuxart & Bernal,.,.,.,.,.,2,.,.,.
,Lavandula pedunculata Cav. [sub],.,.,.,+,.,.,.,1,.,.,+,,Lamium maculatum L.,.,.,.,.,.,2,.,.,.
,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,+,+,.,.,.,.,+,.,.,.,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,.,.,1,.,.,.,.,.
,Thapsia villosa L.,.,.,+,.,+,.,.,+,.,.,.,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.,.,.,1,.,.,.
,Scrophularia scorodonia L.,.,.,.,.,.,.,+,1,.,.,.,,Cytisus scoparius (L.) Link subsp. scoparius,.,.,.,.,.,1,.,.,.
,Festuca elegans Boiss.,.,.,.,.,.,.,.,.,.,+,1,,Origanum virens Hoffmanns. & Link,.,.,.,.,.,1,.,.,.
,Geranium lucidum L.,.,.,.,.,.,.,.,.,.,1,1,,Pinus pinaster Aiton,.,.,.,.,.,.,1,.,.
,Bromus sterilis L.,.,.,.,.,.,.,.,.,.,1,+,,Agrostemma githago L.,.,.,.,.,.,+,.,.,.
,Cynosurus cristatus L.,.,.,.,+,.,.,.,.,.,1,.,,Anarrhinum bellidifolium (L.) Willd.,.,.,.,.,.,+,.,.,.
,Anogramma leptophylla (L.) Link,.,.,.,.,+,.,.,+,.,.,.,,Arabis stenocarpa Boiss. & Reut.,+,.,.,.,.,.,.,.,.
,Antirrhinum graniticum Rothm.,.,.,.,+,.,+,.,.,.,.,.,,Asplenium ruta-muraria L. [sub],+,.,.,.,.,.,.,.,.
,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey. [sub],.,.,.,.,.,.,+,+,.,.,.,,Brachypodium distachyon (L.) P. Beauv.,.,.,.,+,.,.,.,.,.
,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo [sub],.,.,+,.,.,.,.,.,.,.,+,,Calamintha nepeta (L.) Savi subsp. nepeta,.,.,.,.,.,+,.,.,.
,Polypodium cambricum L.,.,.,+,.,.,.,+,.,.,.,.,,Celtis australis L.,.,.,.,.,.,.,.,+,.
,Viburnum tinus L.,1,.,.,.,.,.,.,.,.,.,.,,Centranthus calcitrapae (L.) Dufr. subsp. calcitrapae,.,.,.,.,.,+,.,.,.
,Arum italicum Mill. subsp. neglectum (Towns.) Prime,.,.,+,.,.,.,.,.,.,.,.,,"Coincya monensis (L.) Greuter & Burdet subsp. cheiranthos (Vill.) Aedo, Leadlay & Muñoz Garm.",.,.,.,.,.,+,.,.,.
,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,+,.,.,.,.,.,.,.,,Coleostephus myconis (L.) Rchb. fil.,.,.,.,.,.,+,.,.,.
,Arisarum simorrhinum Durieu,.,.,.,.,.,.,+,.,.,.,.,,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo,+,.,.,.,.,.,.,.,.
,Asplenium ruta-muraria L.,.,.,+,.,.,.,.,.,.,.,.,,Conyza canadensis (L.) Cronquist,.,.,.,.,.,.,+,.,.
,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,.,.,1,.,.,.,.,.,.,.,,Crucianella angustifolia L.,.,.,.,.,.,+,.,.,.
,Brachypodium distachyon (L.) P. Beauv.,.,.,.,+,.,.,.,.,.,.,.,,Cynodon dactylon (L.) Pers.,.,.,.,.,.,.,.,+,.
,Pinus pinaster Aiton,.,.,.,.,.,1,.,.,.,.,.,,Cynosurus cristatus L.,.,.,.,+,.,.,.,.,.
,Conyza canadensis (L.) Cronquist,.,.,.,.,.,+,.,.,.,.,.,,Genista falcata Brot.,+,.,.,.,.,.,.,.,.
,Ferula communis L.,.,.,.,.,.,.,.,2,.,.,.,,Hypericum perforatum L. subsp. perforatum,.,.,.,.,.,.,+,.,.
,Crucianella angustifolia L.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,Coleostephus myconis (L.) Rchb. fil.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,"Coincya monensis (L.) Greuter & Burdet subsp. cheiranthos (Vill.) Aedo, Leadlay & Muñoz Garm.",.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,Centranthus calcitrapae (L.) Dufr.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,Anarrhinum bellidifolium (L.) Willd.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,Agrostemma githago L.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,
,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.,.,.,.,.,1,.,.,.,,,,,,,,,,,
,Lamium maculatum L.,.,.,.,.,.,.,.,2,.,.,.,,,,,,,,,,,
,Celtis australis L.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,
,Cynodon dactylon (L.) Pers.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,
,Filipendula vulgaris Moench,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,,
,Cistus ladanifer L. [sub],.,.,.,.,.,.,.,.,.,.,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
