,,1,,,,,1,2,3,4,5,6,7,8
,Quercus rotundifolia Lam.,3,,,,Quercus rotundifolia Lam.,4,4,4,4,4,5,4,3
,Juniperus oxycedrus L. subsp. badia (H. Gay) Debeaux [sub],3,,,,Phillyrea angustifolia L.,3,2,2,3,1,1,3,1
,Ruscus aculeatus L.,1,,,,Arbutus unedo L.,1,2,3,1,.,+,+,2
,Lavandula pedunculata Cav. [sub],1,,,,Pistacia terebinthus L.,3,2,.,1,.,1,2,2
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],+,,,,Lonicera etrusca G. Santi,2,2,+,1,.,+,.,1
,Hymenocarpos lotoides (L.) Vis. [sub],+,,,,Osyris alba L.,+,1,2,1,.,+,.,2
,Leontodon taraxacoides (Vill.) Mérat,1,,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi,2,1,+,.,1,.,+,+
,Logfia minima (Sm.) Dumort.,+,,,,Daphne gnidium L.,1,.,.,2,1,.,+,1
,Ornithopus compressus L.,1,,,,Ruscus aculeatus L.,1,2,.,.,.,.,+,1
,Tuberaria guttata (L.) Fourr.,1,,,,Asparagus acutifolius L.,+,1,.,.,+,.,.,1
,Genista hystrix Lange,2,,,,Juniperus oxycedrus L. subsp. badia (H. Gay) Debeaux [sub],2,.,.,+,.,.,.,2
,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,1,,,,Pulicaria odora (L.) Rchb.,.,.,.,+,3,.,1,.
,Vulpia myuros (L.) C.C. Gmel. subsp. sciuroides (Roth) Rouy [sub],1,,,,Asplenium onopteris L.,+,.,.,.,.,.,+,1
,Senecio lividus L.,1,,,,Jasminum fruticans L.,+,1,.,.,.,.,.,+
,Sedum arenarium Brot.,+,,,a,Quercus rotundifolia Lam.,.,.,2,.,.,.,.,.
,Coronilla repanda (Poir.) Guss. subsp. dura (Cav.) Cout. [sub],+,,,,Arisarum simorrhinum Durieu,.,.,.,.,.,.,+,.
,Cistus ladanifer L. [sub],+,,,,Rubia peregrina L.,.,.,.,+,.,.,.,.
,Arrhenatherum album (Vahl) W. D. Clayton,+,,,,Erica arborea L. [sub],+,1,3,1,1,2,2,2
,Parietaria lusitanica L.,1,,,,Lavandula pedunculata Cav. [sub],+,+,+,+,+,+,+,+
,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo [sub],1,,,,Cistus ladanifer L. subsp. ladanifer [sub],+,.,+,1,2,+,1,.
,Campanula erinus L.,1,,,,Cistus salviifolius L.,.,.,+,+,+,.,+,+
,Galium aparine L.,1,,,,Urginea fugax (Moris) Steinh. [sub],+,+,+,.,+,.,.,+
,Geranium lucidum L.,+,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,.,+,+,.,.,.,1,.
,Geranium purpureum Vill.,+,,,,Tamus communis L.,.,+,+,.,.,.,.,1
,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,+,+,.,.,.,.,+
,,,,,,Ranunculus ollissiponensis Pers. subsp. ollissiponensis,.,.,+,+,.,.,+,.
,,,,,,Sedum forsterianum Sm. in Sowerby,.,.,1,.,.,.,.,1
,,,,,,Cytisus multiflorus (L'Hér.) Sweet,.,.,1,+,.,.,.,.
,,,,,,Thapsia villosa L.,.,.,+,.,1,.,.,.
,,,,,,Asterolinon linum-stellatum (L.) Duby in A. DC.,.,.,.,+,.,.,+,.
,,,,,,Geranium purpureum Vill.,.,+,.,.,.,.,.,+
,,,,,,Lathyrus clymenum L.,.,.,.,.,.,+,.,+
,,,,,,Leontodon taraxacoides (Vill.) Mérat subsp. hispidus (Roth) Kerguélen [sub],.,.,.,+,+,.,.,.
,,,,,,Ruta angustifolia Pers.,+,.,.,.,.,+,.,.
,,,,,,Vicia sativa L. subsp. sativa,.,+,+,.,.,.,.,.
,,,,,,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary,.,.,.,1,.,.,.,.
,,,,,,Euphorbia segetalis L.,.,.,.,.,.,.,.,1
,,,,,,Anogramma leptophylla (L.) Link,.,.,.,.,.,.,+,.
,,,,,,Arenaria montana L. subsp. montana,.,.,+,.,.,.,.,.
,,,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,.,+,.,.,.,.,.
,,,,,,Asphodelus lusitanicus Cout. [sub],.,.,.,.,+,.,.,.
,,,,,,Brachypodium distachyon (L.) P. Beauv.,.,.,.,.,.,.,.,+
,,,,,,Briza maxima L.,.,.,.,+,.,.,.,.
,,,,,,Carlina corymbosa L. subsp. corymbosa,.,.,.,.,.,.,.,+
,,,,,,Centaurea melanosticta,.,.,.,.,.,+,.,.
,,,,,,Coronilla repanda (Poir.) Guss. subsp. dura (Cav.) Cout.,.,.,.,.,+,.,.,.
,,,,,,Crataegus monogyna Jacq. [sub],+,.,.,.,.,.,.,.
,,,,,,Cytinus hypocistis subsp. macracanthus,.,.,.,+,.,.,.,.
,,,,,,Dipcadi serotinum (L.) Medik. subsp. serotinum,.,.,+,.,.,.,.,.
,,,,,,Erysimum linifolium (Pourr. ex Pers.) J. Gay,+,.,.,.,.,.,.,.
,,,,,,Helichrysum stoechas (L.) Moench,.,.,.,.,.,+,.,.
,,,,,,Hymenocarpos lotoides (L.) Vis. [sub],.,.,.,.,+,.,.,.
,,,,,,Lotus corniculatus L. subsp. carpetanus (Lacaita) Rivas Mart.,.,.,.,+,.,.,.,.
,,,,,,Polypodium cambricum L. subsp. cambricum,.,.,+,.,.,.,.,.
,,,,,,Polypodium interjectum Shivas,.,.,.,.,.,.,+,.
,,,,,,Rhus coriaria L.,+,.,.,.,.,.,.,.
,,,,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,+,.,.,.,.,.,.,.
,,,,,,Senecio lividus L.,.,.,.,.,.,.,+,.
,,,,,,Silene coutinhoi Rothm. & Pinto da Silva,.,+,.,.,.,.,.,.
,,,,,,Sonchus asper (L.) Hill subsp. asper,.,.,.,+,.,.,.,.
,,,,,,Thymus mastichina L.,.,.,.,.,.,.,.,+
,,,,,,Tuberaria guttata (L.) Fourr.,.,.,.,+,.,.,.,.
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,