,,1,,,,,,,,,,,,,
,Quercus suber L.,5,,,,1,2,3,4,5,6,7,8,9,10
,Juniperus oxycedrus L. subsp. badia (H. Gay) Debeaux [sub],2,,,Quercus suber L.,4,4,4,5,4,4,4,5,4,5
,Osyris alba L.,2,,,Quercus faginea Lam.,2,2,2,2,2,2,2,1,1,+
,Arbutus unedo L.,1,,,Juniperus oxycedrus L. subsp. badia (H. Gay) Debeaux [sub],1,+,2,1,+,1,+,2,1,2
,Daphne gnidium L.,1,,,Daphne gnidium L.,1,1,+,1,+,1,1,1,1,+
,Quercus broteroi (Cout.) Rivas-Martínez,1,,,Ruscus aculeatus L.,2,2,1,.,+,+,2,+,2,1
,Asplenium onopteris L.,1,,,Rubia peregrina L. [sub],1,1,1,1,+,+,1,+,.,1
,Rubia peregrina L.,+,,,Genista falcata Brot.,.,+,1,.,1,.,+,.,+,1
,Luzula forsteri (Sm.) DC. in Lam. & DC.,2,,,Pistacia terebinthus L.,+,1,.,+,.,.,.,+,2,2
,Teucrium scorodonia L.,2,,,Erica arborea L.,1,.,.,1,.,+,+,+,.,+
,Tamus communis L.,2,,,Osyris alba L.,1,.,+,1,.,.,.,+,.,+
,Asphodelus aestivus Brot.,2,,,Asplenium onopteris L.,1,.,.,1,.,+,.,1,.,.
,Cytisus multiflorus (L'Hér.) Sweet,2,,,Carex distachya Desf.,+,1,+,.,.,+,.,.,.,.
,Geranium purpureum Vill.,2,,,Phillyrea angustifolia L.,1,.,.,.,.,.,+,+,+,.
,Cytisus scoparius (L.) Link subsp. scoparius [sub],1,,,Asparagus acutifolius L.,+,1,.,.,.,.,.,+,+,.
,Lavandula pedunculata Cav. [sub],+,,,Quercus rotundifolia Lam.,.,.,.,+,1,.,.,.,.,1
,Cistus populifolius L.,+,,,Arbutus unedo L.,.,.,.,.,.,.,.,2,1,.
,Ranunculus ollissiponensis Pers.,1,,,Lonicera etrusca G. Santi,.,.,.,+,.,.,.,.,.,+
,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,1,,,Moerhingia pentandra,.,.,.,.,.,1,.,.,.,.
,Aristolochia paucinervis Pomel,1,,,Cephalanthera longifolia (L.) Fritsch,.,.,.,.,+,.,.,.,.,.
,Cistus psilosepalus Sweet,+,,,Melica minuta L. [sub],.,.,.,.,.,+,.,.,.,.
,Genista falcata Brot.,+,,,Epipactis tremolsii Pau,.,.,.,.,.,.,+,.,.,.
,Sedum hirsutum All.,+,,,Cytisus scoparius (L.) Link,2,2,+,2,1,2,.,1,+,+
,Geranium lucidum L.,+,,,Cistus salviifolius L. [sub],1,1,+,2,.,+,+,.,1,.
,Anthriscus caucalis M. Bieb.,+,,,Cytisus multiflorus (L'Hér.) Sweet,1,.,+,2,+,2,.,1,.,+
,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],1,2,1,1,1,.,.,.,+,.
,,,,,Cistus ladanifer L. [sub],1,1,+,1,1,.,.,.,.,+
,,,,,Lavandula pedunculata Cav. [sub],+,1,+,1,.,.,.,1,.,+
,,,,,Silene coutinhoi Rothm. & Pinto da Silva,+,1,+,1,.,.,.,.,+,+
,,,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],1,.,+,.,.,1,2,+,.,+
,,,,,Ranunculus ollissiponensis Pers.,.,.,.,+,1,1,.,1,1,+
,,,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,.,.,.,1,1,+,1,.,+
,,,,,Geranium purpureum Vill.,.,+,.,+,.,+,1,1,+,.
,,,,,Teucrium scorodonia L.,+,.,.,.,.,+,.,2,1,1
,,,,,Cistus psilosepalus Sweet,1,.,1,.,.,+,.,+,.,+
,,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,.,.,.,.,+,+,+,.,+
,,,,,Andryala integrifolia L.,1,1,.,1,.,+,.,.,.,.
,,,,,Sedum forsterianum Sm. in Sowerby,1,.,.,.,1,.,+,+,.,.
,,,,,Tamus communis L.,+,+,.,.,.,.,.,1,.,1
,,,,,Aristolochia paucinervis Pomel,.,1,.,.,.,.,+,1,.,+
,,,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman [sub],+,.,.,+,.,.,+,.,1,.
,,,,,Halimium umbellatum (L.) Spach subsp. viscosum (Willk.) O. Bolòs & Vigo [sub],.,.,.,1,+,+,.,.,+,.
,,,,,Cistus populifolius L.,.,.,+,.,.,.,+,+,.,+
,,,,,Hypochaeris radicata L.,.,.,.,.,1,1,.,+,.,.
,,,,,Centaurea lageana,1,+,.,+,.,.,.,.,.,.
,,,,,Digitalis purpurea L.,1,+,.,.,.,.,.,+,.,.
,,,,,Pimpinella villosa Schousb.,.,+,.,+,+,.,.,.,.,.
,,,,,Thapsia villosa L.,.,.,+,+,.,+,.,.,.,.
,,,,,Torilis arvensis (Huds.) Link subsp. purpurea (Ten.) Hayek [sub],+,.,.,.,.,+,+,.,.,.
,,,,,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo [sub],.,.,+,+,.,.,+,.,.,.
,,,,,Origanum virens Hoffmanns. & Link,.,+,.,+,.,.,.,.,+,.
,,,,,Campanula rapunculus L.,.,+,.,.,.,+,.,.,.,+
,,,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,.,.,.,2,.,1,.
,,,,,Vicia angustifolia L.,1,1,.,.,.,.,.,.,.,.
,,,,,Crataegus monogyna Jacq.,.,1,.,.,.,.,.,.,+,.
,,,,,Retama sphaerocarpa (L.) Boiss.,.,.,.,.,.,.,.,+,1,.
,,,,,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey. [sub],.,+,+,.,.,.,.,.,.,.
,,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,.,.,.,.,.,.,.,+,.
,,,,,Jasione montana L.,+,.,.,.,.,.,.,.,.,+
,,,,,Sedum hirsutum All.,+,.,.,.,.,.,.,+,.,.
,,,,,Thymus mastichina L.,.,+,.,.,.,.,+,.,.,.
,,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,+,.,.,.,.,+,.
,,,,,Senecio lividus L.,.,.,.,+,.,+,.,.,.,.
,,,,,Silene latifolia Poir.,.,.,.,+,.,+,.,.,.,.
,,,,,Geranium lucidum L.,.,.,.,.,.,+,.,+,.,.
,,,,,Adenocarpus complicatus (L.) J. Gay in Durieu,1,.,.,.,.,.,.,.,.,.
,,,,,Rumex acetosella L. subsp. angiocarpus (Murb.) Murb. [sub],+,.,.,.,.,.,.,.,.,.
,,,,,Parietaria lusitanica L.,+,.,.,.,.,.,.,.,.,.
,,,,,Hypericum linariifolium Vahl,+,.,.,.,.,.,.,.,.,.
,,,,,Neotinia maculata,+,.,.,.,.,.,.,.,.,.
,,,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens [sub],.,2,.,.,.,.,.,.,.,.
,,,,,Torilis lepthophylla,.,+,.,.,.,.,.,.,.,.
,,,,,Phagnalon saxatile (L.) Cass.,.,+,.,.,.,.,.,.,.,.
,,,,,Asplenium ceterach L. [sub],.,+,.,.,.,.,.,.,.,.
,,,,,Allium sphaerocephalon L.,.,+,.,.,.,.,.,.,.,.
,,,,,Digitalis thapsi L.,.,+,.,.,.,.,.,.,.,.
,,,,,Orobanche rapum-genistae Thuill.,.,1,.,.,.,.,.,.,.,.
,,,,,Cytisus striatus (Hill) Rothm.,.,.,1,.,.,.,.,.,.,.
,,,,,Cistus salviifolius_X_psilosepal,.,.,+,.,.,.,.,.,.,.
,,,,,Narcissus triandrus L. subsp. pallidulus (Graells) D.A.Webb [sub],.,.,1,.,.,.,.,.,.,.
,,,,,Poa bulbosa L.,.,.,.,1,.,.,.,.,.,.
,,,,,Ononis spinosa L.,.,.,.,+,.,.,.,.,.,.
,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,.,.,+,.,.,.,.,.,.
,,,,,Prunus mahaleb L.,.,.,.,+,.,.,.,.,.,.
,,,,,Orchis mascula (L.) L.,.,.,.,.,+,.,.,.,.,.
,,,,,Anthriscus caucalis M. Bieb.,.,.,.,.,.,.,.,+,.,.
,,,,,Hypericum perforatum L.,.,.,.,.,.,.,.,.,+,.
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,