,,1,2,3,4,5,6,7
,Quercus rotundifolia Lam.,3,3,3,4,3,3,3
,Rhamnus laderoi,1,2,1,1,1,1,1
,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],3,2,2,+,+,2,1
,Quercus coccifera L.,2,2,3,3,4,2,2
,Pistacia lentiscus L.,2,2,3,3,2,+,2
,Pistacia terebinthus L.,+,2,2,2,2,2,1
,Jasminum fruticans L.,1,1,2,1,.,2,2
,Asparagus acutifolius L.,1,2,2,.,1,2,1
,Lonicera implexa Aiton,.,2,1,2,1,1,1
,Arbutus unedo L.,.,1,1,1,2,.,2
,Rubia peregrina L. [sub],.,2,1,2,1,2,.
,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],+,1,+,.,+,.,.
,Phillyrea angustifolia L.,.,+,2,1,.,.,+
,Daphne gnidium L.,.,+,.,1,+,+,.
,Ruscus aculeatus L.,.,1,.,+,+,.,+
,Viburnum tinus L.,.,.,.,2,2,1,3
,Teucrium fruticans L.,.,.,.,+,+,+,1
,Osyris alba L.,.,1,.,+,.,.,2
,Smilax aspera L.,.,.,2,2,2,.,.
,Phillyrea latifolia L.,.,.,2,1,.,.,2
,Thapsia nitida Lacaita,.,.,1,.,1,.,1
,Bupleurum fruticosum L.,.,.,.,1,3,.,2
,Cistus albidus L.,+,+,+,+,+,1,1
,Delphinium pentagynum Lam.,2,+,1,.,.,2,.
,Phlomis purpurea L.,.,.,.,1,+,2,1
,Ruta chalepensis L.,1,+,.,+,.,.,.
,Retama sphaerocarpa (L.) Boiss.,+,+,.,.,.,+,.
,Origanum virens Hoffmanns. & Link,.,+,+,+,.,.,.
,Tamus communis L.,.,2,1,.,1,.,.
,Magydaris panacifolia (Vahl) Lange in Willk. & Lange,.,+,1,.,.,1,.
,Arisarum simorrhinum Durieu,1,+,.,.,.,.,.
,Rhamnus alaternus L.,.,.,2,1,.,.,.
,Paeonia broteri Boiss. & Reut. [sub],.,.,2,.,.,.,+
,Coronilla juncea L.,.,.,1,.,.,.,+
,Elaeoselinum foetidum (L.) Boiss.,.,.,.,.,1,+,.
,Lonicera etrusca G. Santi,.,.,.,.,.,+,2
,Asparagus albus L.,2,.,.,.,.,.,.
,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab. [sub],+,.,.,.,.,.,.
,Juniperus oxycedrus L. subsp. badia (H. Gay) Debeaux [sub],+,.,.,.,.,.,.
,Pyrus bourgaeana Decne.,.,+,.,.,.,.,.
,Anemone palmata L.,.,.,2,.,.,.,.
,Arum italicum Mill. subsp. neglectum (Towns.) Prime [sub],.,.,1,.,.,.,.
,Asplenium onopteris L.,.,.,.,.,+,.,.
,Erica arborea L.,.,.,.,.,+,.,.
,Urginea maritima (L.) Baker [sub],1,+,.,.,.,.,.
,Cytisus scoparius (L.) Link subsp. scoparius [sub],+,.,.,.,.,.,.
,Melica ciliata L. subsp. magnolii (Gren. & Godr.) Husnot [sub],1,.,+,.,.,.,.
,Crataegus monogyna Jacq.,.,1,.,.,.,+,.
,Cephalanthera longifolia (L.) Fritsch,.,.,1,.,+,.,.
,Cytisus striatus (Hill) Rothm. [sub],.,.,.,1,+,.,.
,Ballota hirsuta Benth.,2,.,.,.,.,.,.
,Rosa pouzinii Tratt.,.,+,.,.,.,.,.
,Rosa canina L.,.,1,.,.,.,.,.
,Nepeta tuberosa L.,.,.,.,.,.,+,.
,,,,,,,,
,,,,,,,,
,"Rivas-Martínez, S. et al. 2011 Mapa de series, geoseries y geopermaseries de vegetación de España [Memoria del mapa de vegetación poetncial de España, 2011], Parte II. Itinera Geobotanica 18 (2): T.019",,,,,,,