,,1,,,,1,2,3,4,5,6
,Quercus suber L.,3,,,Quercus suber L.,4,4,3,4,3,4
,Hedera hibernica (G. Kirchn.) Bean,2,,,Teucrium salviastrum Schreb.,.,1,1,.,1,1
,Ilex aquifolium L.,1,,,Asplenium onopteris L.,.,.,+,+,+,.
,Rubia peregrina L.,1,,,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,+,1,+
,Ruscus aculeatus L.,1,,,Arbutus unedo L.,.,.,.,.,2,2
,Teucrium salviastrum Schreb.,+,,,Scilla monophyllos Link,.,.,.,.,+,+
,Agrostis castellana Boiss. & Reut.,1,,,Phillyrea angustifolia L.,.,.,.,.,.,1
,Castanea sativa Mill.,1,,,Silene acutifolia Link ex Rohrb.,.,+,1,+,1,+
,Erica arborea L. [sub],1,,,Sedum hirsutum All.,1,.,1,.,+,+
,Pteridium aquilinum (L.) Kuhn in Kerst. [sub],1,,,Dianthus lusitanus Brot. [sub],.,.,.,+,1,1
,Quercus robur L. [sub],1,,,Sedum brevifolium DC.,.,.,.,+,+,+
,Anarrhinum longipedicellatum R.Fern.,+,,,Digitalis purpurea L.,.,+,+,.,.,.
,Calamintha nepeta (L.) Savi subsp. nepeta,+,,,Digitalis thapsi L.,1,.,.,.,.,.
,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman,+,,,Erica arborea L.,1,2,1,.,2,1
,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary,+,,,Erica australis L. [sub],.,+,1,1,+,+
,Erica cinerea L.,+,,,Agrostis castellana Boiss. & Reut.,+,1,.,+,.,.
,Hypericum perforatum L. subsp. perforatum,+,,,Hypochaeris radicata L. [sub],+,+,.,+,.,.
,Jasione montana L. subsp. montana,+,,,Cytisus multiflorus (L'Hér.) Sweet,2,.,+,.,.,.
,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,+,,,Halimium lasianthum (Lam.) Spach subsp. alyssoides (Lam.) Greuter [sub],1,1,.,.,.,.
,Sedum forsterianum Sm. in Sowerby,+,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. baeticum Romero Zarco [sub],1,.,.,.,.,+
,Teucrium scorodonia L. subsp. scorodonia,+,,,Hypericum linariifolium Vahl [sub],+,+,.,.,.,.
,Ulex minor Roth,+,,,Pteridium aquilinum (L.) Kuhn in Kerst.,+,.,2,.,.,.
,,,,,Quercus robur L.,+,.,+,.,.,.
,,,,,Calluna vulgaris (L.) Hull,.,1,+,.,.,.
,,,,,Erica erigena R. Ross,.,+,+,.,.,.
,,,,,Anarrhiunum longipedicellatum,.,+,+,.,.,.
,,,,,Centaurea paniculata L.,.,+,.,+,.,.
,,,,,Agrostis curtisii Kerguélen,.,.,1,1,.,.
,,,,,Avenella flexuosa (L.) Drejer [sub],.,.,+,+,.,.
,,,,,Quercus pyrenaica Willd.,.,.,+,.,1,.
,,,,,Conopodium majus (Gouan) Loret in Loret & Barrandon,.,.,.,.,1,1
,,,,,Lavandula pedunculata Cav.,+,.,.,.,.,.
,,,,,Silene latifolia Poir.,1,.,.,.,.,.
,,,,,Orobanche raput-genistae,.,+,.,.,.,.
,,,,,Pinus pinaster Aiton,.,+,.,.,.,.
,,,,,Reseda media Lag.,.,+,.,.,.,.
,,,,,Lavandula pedunculata Cav. [sub],.,1,.,.,.,.
,,,,,Cytisus striatus (Hill) Rothm.,.,2,.,.,.,.
,,,,,Armeria transmontana (Samp.) G.H.M. Lawr.,.,.,+,.,.,.
,,,,,Crataegus monogyna Jacq.,.,.,+,.,.,.
,,,,,Silene coutinhoi Rothm. & Pinto da Silva,.,.,+,.,.,.
,,,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,.,.,1,.,.,.
,,,,,Helictochloa marginata (Lowe) Romero Zarco [sub],.,.,.,+,.,.
,,,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange,.,.,.,+,.,.
,,,,,Conopodium marianum Lange [sub],.,.,.,1,.,.
,,,,,Festuca summilusitana Franco & Rocha Afonso,.,.,.,1,.,.
,,,,,Cistus ladanifer L. [sub],.,.,.,.,+,.
,,,,,Erica scoparia L.,.,.,.,.,+,.
,,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,.,.,.,+,.
,,,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth,.,.,.,.,.,+
,,,,,Phalacrocarpum oppositifolium (Brot.) Willk.,.,.,.,.,.,+
,,,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,.,.,.,1
,,,,,Armeria beirana Franco,.,.,.,.,.,1
,,,,,Coincya monensis (L.) Greuter & Burdet,.,.,.,.,.,1
,,,,,Lonicera periclymenum L.,.,.,.,.,.,1