,,1,2,3,4,,,,1,2,3,4,5
,Vaccinium myrtillus L.,2,3,4,3,,,Hedera helix L.,1,1,2,1,1
,¿ Rubus lusitanicus R.P.Murray [sub],2,2,2,2,,,Teucrium scorodonia L.,+,+,+,2,+
,Galium rotundifolium L.,(+),2,2,2,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],+,2,+,+,+
,Laserpitium eliasii Sennen & Pau subsp. thalictrifolium (Samp.) P. Monts. [sub],2,2,r,.,,,Quercus robur L.,5,5,1,.,1
,Eryngium duriaei J. Gay ex Boiss. [sub],1,(+),.,r,,,Vaccinium myrtillus L.,3,3,2,3,.
,Picris hieracioides L. subsp. longifolia (Boiss. & Reut.) P.D.Sell [sub],2,.,.,.,,,Ilex aquifolium L.,1,1,2,2,.
A,Quercus robur L. [sub],3,5,5,1,,,Frangula alnus Mill.,.,2,2,2,1
a,Quercus robur L. [sub],2,.,.,.,,,Eryngium duriaei J. Gay ex Boiss. [sub],2,1,1,+,.
p,Quercus robur L. [sub],.,+,+,.,,,Saxifraga spathularis Brot.,3,.,2,2,.
,Lilium martagon L.,+,+,1,1,,,Pyrus cordata Desv.,1,1,.,.,+
,Polygonatum odoratum (Mill.) Druce,2,2,+,r,,,Hieracium bourgaei Boiss.,+,.,+,+,.
A,Quercus pyrenaica Willd.,1,.,1,1,,,Crepis lampsanoides (Gouan) Tausch,1,.,+,.,+
a,Quercus pyrenaica Willd.,2,.,.,.,,,Galium rotundifolium L.,.,2,+,2,.
A,Ilex aquifolium L.,2,1,1,.,,,Euphorbia dulcis L.,+,+,.,.,+
a,Ilex aquifolium L.,2,2,.,.,,,Quercus pyrenaica Willd.,.,.,.,2,4
,Physospermum cornubiense (L.) DC. [sub],2,2,.,+,,,Taxus baccata L.,.,.,2,2,.
,Anemone trifolia L.,.,1,1,+,,,Sorbus aucuparia L.,.,1,.,1,.
,Pyrus communis L.,2,2,+,.,,,Melampyrum pratense L.,2,.,.,.,2
p,Pyrus communis L.,.,.,+,.,,,Physospermum cornubiense (L.) DC.,.,+,.,.,1
,Melittis melissophyllum L.,2,2,1,.,,,Prunella grandiflora (L.) Scholler,2,2,.,.,.
,Prunella hasteafolia,2,2,2,.,,,Lonicera periclymenum L. [sub],+,.,.,+,.
,Crepis lampsanoides (Gouan) Tausch,+,.,+,.,,,Omphalodes nitida (Willd.) Hoffmanns & Link,+,+,.,.,.
,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],2,.,.,2,,,Melittis melissophyllum L.,+,+,.,.,.
,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],2,.,.,2,,,Lathyrus linifolius (Reichard) Bässler [sub],+,.,.,.,2
,Clinopodium vulgare L. [sub],+,2,.,.,,,Clinopodium vulgare L.,.,+,.,.,+
,Euphorbia dulcis L.,.,2,.,.,,,Euphorbia amygdaloides L.,r,+,.,.,.
,Omphalodes nitida (Willd.) Hoffmanns & Link,.,2,.,.,,,Erica arborea L.,2,2,2,2,1
,Euphorbia amygdaloides L.,2,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,2,2,.,2,2
,Silene nutans L.,(+),.,.,.,,,Ulex minor Roth,1,.,2,2,1
,Pteridium aquilinum (L.) Kuhn in Kerst.,2,3,2,3,,,Rubus sp.,3,2,.,.,2
,Teucrium scorodonia L.,2,2,2,2,,,Betula pubescens Ehrh. [sub],4,.,.,2,1
,Hypericum pulchrum L.,2,2,2,r,,,Cytisus striatus (Hill) Rothm.,2,2,.,.,2
,Melampyrum pratense L.,2,2,2,2,,,Cirsium filipendulum Lange,3,+,.,.,2
,Lonicera periclymenum L.,(+),2,2,2,,,Cytisus scoparius (L.) Link,2,.,.,.,2
,¿ Hieracium sabaudum L. [sub],.,+,+,r,,,Anthoxanthum odoratum L.,2,.,.,.,3
,Lathyrus linifolius (Reichard) Bässler [sub],2,(+),r,.,,,Genista florida L. [sub],2,.,.,2,.
,Avenella flexuosa (L.) Drejer [sub],.,.,.,2,,,Pseudarrhenatherum longifolium (Thore) Rouy,1,.,.,.,2
,Veronica officinalis L.,.,.,+,.,,,Dactylis glomerata L.,3,.,.,.,2
,Erica arborea L.,3,2,3,2,,,Laserpitium eliasii Sennen & Pau subsp. thalictrifolium (Samp.) P. Monts. [sub],+,1,.,.,.
,Cytisus scoparius (L.) Link,2,2,2,2,,,Hyacinthoides paivae S. Ortiz & J. Rodríguez-Oubiña,+,.,.,.,+
,Asphodelus lusitanicus Cout.,2,+,1,1,,,Lithodora prostrata (Loisel.) Griseb.,.,+,.,.,+
,Hedera helix L.,2,3,2,.,,,Galium rivulare Boiss. & Reut.,+,.,.,.,+
,Brachypodium sylvaticum (Huds.) P. Beauv. [sub],2,.,2,2,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,.,.,+,+
,Anthoxanthum odoratum L.,2,2,2,.,,,Potentilla erecta (L.) Raeusch.,+,.,.,.,2
,Galium helodes Hoffmanns. & Link,+,+,.,r,,,Orobanche rapum-genistae Thuill.,r,.,.,r,.
,Frangula alnus Mill. [sub],+,.,(+),+,,,Anemone trifolia L. subsp. albida (Mariz) Ulbr.,2,.,.,.,.
,Primula acaulis (L.) L. [sub],+,+,.,.,,,Vicia orobus DC. in Lam. & DC.,r,.,.,.,.
,Peucedanum lancifolium Hoffmanns. & Link ex Lange,.,2,.,r,,,Sorbus torminalis (L.) Crantz,3,.,.,.,.
,Rumex papillaris Boiss. & Reut.,2,.,.,r,,,Pulmonaria longifolia (Bast.) Boreau,2,.,.,.,.
,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,+,r,.,,,Polygonatum odoratum (Mill.) Druce,1,.,.,.,.
A,Arbutus unedo L.,.,1,.,.,,,Linaria triornithophora (L.) Willd.,+,.,.,.,.
a,Arbutus unedo L.,.,2,.,.,,,Lilium martagon L.,+,.,.,.,.
,Crataegus monogyna Jacq.,.,.,+,.,,,Euphorbia hyberna L.,1,.,.,.,.
,Tamus communis L.,.,+,.,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,+,.,.,.,.
,Cytisus striatus (Hill) Rothm. [sub],.,2,.,.,,,Angelica major Lag.,+,.,.,.,.
,Pseudarrhenatherum longifolium (Thore) Rouy [sub],2,.,.,2,,,Daphne gnidium L.,.,+,.,.,.
,Ulex minor Roth,.,+,.,+,,,Veronica officinalis L.,.,+,.,.,.
,Orobanche rapum-genistae Thuill.,+,.,.,.,,,Hypericum pulchrum L.,.,+,.,.,.
,Lithodora diffusa (Lag.) I. M. Johnston [sub],.,.,.,+,,,Blechnum spicant (L.) Roth,.,.,.,2,.
,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis [sub],.,.,.,r,,,Prunus avium L.,.,.,.,2,.
,Erica cinerea L.,.,.,.,r,,,Allium victorialis L.,3,.,.,.,.
,Festuca sp.,3,.,.,.,,,Viburnum opulus L.,r,.,.,.,.
m,Brachythecium rivulare,3,.,.,.,,,Sedum forsterianum Sm. in Sowerby [sub],3,.,.,.,.
,Linaria triornithophora (L.) Willd.,(+),.,.,.,,,Ranunculus platanifolius L.,3,.,.,.,.
,Cirsium palustre (L.) Scop.,(+),.,.,.,,,Luzula sylvatica (Huds.) Gaudin subsp. henriquesii (Degen) P.Silva,3,.,.,.,.
,Vicia angustifolia L.,+,.,.,.,,,Jasione montana L.,+,.,.,.,.
,Brachypodium pinnatum (L.) P. Beauv.,2,.,.,.,,,Hypericum undulatum Schousb. ex Willd.,3,.,.,.,.
,Dactylis glomerata L. subsp. glomerata,2,.,.,.,,,Digitalis purpurea L.,+,.,.,.,.
,Hieracium sp.,+,.,.,.,,,Centaurea nigra L.,.,r,.,.,.
,¿ Hieracium praecox subsp. bounophyllum [sub],+,.,.,.,,,Amelanchier ovalis Medik.,.,.,.,+,.
,Digitalis purpurea L.,.,4,.,.,,,Salix atrocinerea Brot.,.,.,.,2,.
,Pseudoscleropodium purum,.,+,.,.,,,Dryopteris affinis (Lowe) Fraser-Jenk.,.,.,.,+,.
,Danthonia decumbens (L.) DC. in Lam. & DC. subsp. decumbens [sub],.,.,+,.,,,Calluna vulgaris (L.) Hull,.,.,.,r,.
,Polygala serpyllifolia Hose,.,.,+,.,,,Cruciata glabra (L.) Ehrend.,.,.,.,.,2
,Agrostis castellana Boiss. & Reut.,.,.,+,.,,,Rumex acetosa L.,.,.,.,.,+
,Lotus corniculatus L.,.,.,+,.,,,,,,,,
,Festuca elegans Boiss.,.,.,.,(+),,,,,,,,
,Luzula lactea (Link) E.Mey.,.,.,.,r,,,,,,,,
,¿ Pilosella officinarum F.W.Schultz & Sch. Bip. [sub],.,.,.,+,,,,,,,,
,Hieracium sp.,.,.,.,+,,,,,,,,